NAME;LON;LAT;F_MHZ;CHANNEL;H_TRAN;POLARIZ;ERP_0;ERP_10;ERP_20;ERP_30;ERP_40;ERP_50;ERP_60;ERP_70;ERP_80;ERP_90;ERP_100;ERP_110;ERP_120;ERP_130;ERP_140;ERP_150;ERP_160;ERP_170;ERP_180;ERP_190;ERP_200;ERP_210;ERP_220;ERP_230;ERP_240;ERP_250;ERP_260;ERP_270;ERP_280;ERP_290;ERP_300;ERP_310;ERP_320;ERP_330;ERP_340;ERP_350
Šalčininkai;25,464444;54,322778;762;57;103;H;12,3;17,3;20,3;22,2;23,4;24,6;25,3;24,8;23,5;23,1;24,3;24,4;24,3;23,3;24,8;25,3;24,4;23,1;21,8;19,8;16,8;10,3;5,3;5,3;5,3;5,3;5,3;5,3;5,3;5,3;5,3;5,3;5,3;5,3;5,3;5,3
Šalčininkai;25,464444;54,322778;818;64;103;H;12,2;17,2;20,7;22,4;23,3;24,3;25,0;24,7;23,4;23,2;24,2;24,3;23,8;22,5;23,2;24,7;25,2;25,0;24,3;23,0;22,1;20,0;17,0;10,2;5,2;5,2;5,2;5,2;5,2;5,2;5,2;5,2;5,2;5,2;5,2;5,2
Šiauliai (Bubiai);23,150000;55,854167;594;36;235;H;42,5;40,5;39,2;41,2;41,2;39,2;40,0;42,5;41,0;39,2;40,8;42,0;39,8;39,8;42,0;41,8;39,2;40,2;42,5;40,2;39,2;41,5;42,0;39,5;40,0;42,0;40,5;39,2;41,0;42,3;40,0;39,5;41,5;41,5;39,2;40,5
Šiauliai (Bubiai);23,150000;55,854167;730;53;235;H;42,5;40,5;39,2;41,2;41,2;39,2;40,0;42,5;41,0;39,2;40,8;42,0;39,8;39,8;42,0;41,8;39,2;40,2;42,5;40,2;39,2;41,5;42,0;39,5;40,0;42,0;40,5;39,2;41,0;42,3;40,0;39,5;41,5;41,5;39,2;40,5
Šiauliai (Bubiai);23,146389;55,852778;762;57;235;H;42,1;41,1;39,0;41,1;41,6;38,4;40,1;42,1;41,1;39,0;40,6;42,1;39,1;40,1;41,9;41,9;39,1;40,1;41,1;40,1;39,1;41,9;41,9;39,9;39,1;42,1;40,6;38,9;41,1;42,1;40,1;38,4;41,6;41,1;38,9;41,1
Šiauliai (Bubiai);23,146389;55,852778;810;63;235;H;42,3;41,3;39,2;41,3;41,8;38,6;40,3;42,3;41,3;39,2;40,8;42,3;39,3;40,3;42,1;42,1;39,3;40,3;41,3;40,3;39,3;42,1;42,1;40,1;39,3;42,3;40,8;39,1;41,3;42,3;40,3;38,6;41,8;41,3;39,1;41,3
Skuodas;21,529444;56,261389;594;36;92;H;30,1;28,8;25,6;26,1;29,6;30,3;26,6;25,2;27,6;30,1;28,8;25,6;25,6;29,6;30,3;26,6;25,2;27,6;29,9;28,6;25,6;25,6;29,6;30,3;26,6;25,2;27,6;30,1;28,8;25,9;25,6;29,6;30,3;26,6;25,2;27,6
Skuodas;21,529444;56,261389;610;38;95;H;31,0;30,5;28,5;27,9;30,1;30,5;28,3;27,9;30,1;31,0;30,5;28,5;27,5;30,1;30,7;28,8;28,1;30,0;31,0;30,3;28,5;27,9;30,2;30,5;28,5;28,0;30,0;31,0;30,5;28,5;28,1;30,4;30,4;27,9;27,9;30,1
Skuodas;21,529444;56,261389;786;60;92;H;30,9;30,3;28,4;27,8;29,9;30,4;28,1;27,8;29,9;30,9;30,3;28,4;27,4;29,9;30,6;28,7;28,0;29,8;30,9;30,1;28,4;27,8;30,0;30,0;28,4;27,9;29,8;30,9;30,3;28,4;28,0;30,2;30,3;27,8;27,8;29,9
Švėkšna;21,618056;55,528889;786;60;87;H;8,6;2,6;2,6;8,6;2,6;2,6;2,6;8,6;14,6;22,0;24,9;26,3;27,2;28,1;28,4;27,8;26,6;26,8;27,7;26,7;25,8;27,3;26,6;28,3;27,5;26,4;24,9;22,6;19,5;14,6;8,6;2,6;2,6;8,6;2,6;2,6
Tauragė;22,266667;55,250000;594;36;150;H;31,3;35,0;37,0;35,0;33,0;32,5;35,0;36,5;35,3;34,0;34,5;36,8;35,6;34,0;30,0;30,0;30,0;28,0;33,0;31,0;32,3;31,0;33,7;29,0;27,0;29,0;33,0;36,0;35,5;36,7;35,7;35,0;35,5;35,8;33,5;31,0
